.net core	c#
 bash	shell
 0.73	2
 bash	scripting
 0.51	36
 bash	developpement logiciel
 -0.00	1353
 bash	developpement informatique
 0.01	1301
 bash	systemes exploitation
 0.24	370
 bash	unix shell
 0.58	13
 big data	data scientist
 0.44	18
 big data	science des donnees
 0.16	378
 big data	data science
 0.47	9
 bigdata	big data
 0.90	1
 bootstrap	developpement web
 0.31	300
 bootstrap	javascript
 0.49	28
 bootstrap	developpeur web
 0.31	292
 borland delphi	developpement logiciel
 0.13	1000
 borland delphi	pascal
 0.47	35
 borland delphi	c++
 0.23	578
 bsc huawei 6900	telecommunications
 -0.01	1273
 bureautique word	excel
 0.46	15
 bureautique word	powerpoint
 0.30	125
 bureautique word	bureautique informatique
 0.73	4
 bureautique word	bureautique informatique
 0.73	4
 c	golang
 0.33	164
 c#	asp.net
 0.76	9
 c#	asp.net core
 0.64	22
 c#	asp.net mvc
 0.68	11
 ccna	reseau
 0.21	563
 ccna	cisco reseau
 0.47	74
 ccna1	ccna
 0.92	4
 ccna1	telecommunications
 0.08	1090
 centos	linux
 0.40	17
 centreon	reseau
 0.24	677
 centreon	automatisation
 0.11	1377
 centreon	devops
